date,product_name,quantity,cost_price,selling_price,payment_method,mpesa_transaction_id
2025-01-01,Soap,10,20.0,30.0,M-Pesa,TXN100001
2025-01-01,Shampoo,5,50.0,70.0,Cash,
2025-01-01,Toothpaste,8,15.0,25.0,Card,TXN100003
2025-01-02,Soap,12,20.0,30.0,M-Pesa,TXN100004
2025-01-02,Shampoo,7,50.0,70.0,Cash,
2025-01-02,Toothpaste,9,15.0,25.0,Card,TXN100006
2025-01-03,Soap,15,20.0,30.0,M-Pesa,TXN100007
2025-01-03,Shampoo,6,50.0,70.0,Cash,
2025-01-03,Toothpaste,10,15.0,25.0,Card,TXN100009
2025-01-04,Soap,9,20.0,30.0,M-Pesa,TXN100010
2025-01-04,Shampoo,4,50.0,70.0,Cash,
2025-01-04,Toothpaste,11,15.0,25.0,Card,TXN100012
2025-01-05,Soap,14,20.0,30.0,M-Pesa,TXN100013
2025-01-05,Shampoo,8,50.0,70.0,Cash,
2025-01-05,Toothpaste,12,15.0,25.0,Card,TXN100015
2025-01-06,Soap,10,20.0,30.0,M-Pesa,TXN100016
2025-01-06,Shampoo,5,50.0,70.0,Cash,
2025-01-06,Toothpaste,7,15.0,25.0,Card,TXN100018
2025-01-07,Soap,11,20.0,30.0,M-Pesa,TXN100019
2025-01-07,Shampoo,6,50.0,70.0,Cash,
2025-01-07,Toothpaste,9,15.0,25.0,Card,TXN100021
2025-01-08,Soap,13,20.0,30.0,M-Pesa,TXN100022
2025-01-08,Shampoo,7,50.0,70.0,Cash,
2025-01-08,Toothpaste,8,15.0,25.0,Card,TXN100024
2025-01-09,Soap,12,20.0,30.0,M-Pesa,TXN100025
2025-01-09,Shampoo,5,50.0,70.0,Cash,
2025-01-09,Toothpaste,10,15.0,25.0,Card,TXN100027
2025-01-10,Soap,14,20.0,30.0,M-Pesa,TXN100028
2025-01-10,Shampoo,6,50.0,70.0,Cash,
2025-01-10,Toothpaste,11,15.0,25.0,Card,TXN100030
2025-01-11,Soap,10,20.0,30.0,M-Pesa,TXN100031
2025-01-11,Shampoo,4,50.0,70.0,Cash,
2025-01-11,Toothpaste,12,15.0,25.0,Card,TXN100033
2025-01-12,Soap,15,20.0,30.0,M-Pesa,TXN100034
2025-01-12,Shampoo,8,50.0,70.0,Cash,
2025-01-12,Toothpaste,9,15.0,25.0,Card,TXN100036
2025-01-13,Soap,11,20.0,30.0,M-Pesa,TXN100037
2025-01-13,Shampoo,7,50.0,70.0,Cash,
2025-01-13,Toothpaste,10,15.0,25.0,Card,TXN100039
2025-01-14,Soap,12,20.0,30.0,M-Pesa,TXN100040
2025-01-14,Shampoo,9,50.0,70.0,Cash,
2025-01-14,Toothpaste,13,15.0,25.0,Card,TXN100042
2025-01-15,Soap,16,20.0,30.0,M-Pesa,TXN100043
2025-01-15,Shampoo,8,50.0,70.0,Cash,
2025-01-15,Toothpaste,14,15.0,25.0,Card,TXN100045
2025-01-16,Soap,10,20.0,30.0,M-Pesa,TXN100046
2025-01-16,Shampoo,5,50.0,70.0,Cash,
2025-01-16,Toothpaste,11,15.0,25.0,Card,TXN100048
2025-01-17,Soap,13,20.0,30.0,M-Pesa,TXN100049
2025-01-17,Shampoo,7,50.0,70.0,Cash,
2025-01-17,Toothpaste,9,15.0,25.0,Card,TXN100051
2025-01-18,Soap,14,20.0,30.0,M-Pesa,TXN100052
2025-01-18,Shampoo,6,50.0,70.0,Cash,
2025-01-18,Toothpaste,10,15.0,25.0,Card,TXN100054
2025-01-19,Soap,12,20.0,30.0,M-Pesa,TXN100055
2025-01-19,Shampoo,5,50.0,70.0,Cash,
2025-01-19,Toothpaste,15,15.0,25.0,Card,TXN100057
2025-01-20,Soap,18,20.0,30.0,M-Pesa,TXN100058
2025-01-20,Shampoo,10,50.0,70.0,Cash,
2025-01-20,Toothpaste,16,15.0,25.0,Card,TXN100060
2025-01-21,Soap,10,20.0,30.0,M-Pesa,TXN100061
2025-01-21,Shampoo,8,50.0,70.0,Cash,
2025-01-21,Toothpaste,14,15.0,25.0,Card,TXN100063
2025-01-22,Soap,20,20.0,30.0,M-Pesa,TXN100064
2025-01-22,Shampoo,9,50.0,70.0,Cash,
2025-01-22,Toothpaste,18,15.0,25.0,Card,TXN100066
2025-01-23,Soap,15,20.0,30.0,M-Pesa,TXN100067
2025-01-23,Shampoo,7,50.0,70.0,Cash,
2025-01-23,Toothpaste,13,15.0,25.0,Card,TXN100069
2025-01-24,Soap,11,20.0,30.0,M-Pesa,TXN100070
2025-01-24,Shampoo,6,50.0,70.0,Cash,
2025-01-24,Toothpaste,17,15.0,25.0,Card,TXN100072
2025-01-25,Soap,14,20.0,30.0,M-Pesa,TXN100073
2025-01-25,Shampoo,10,50.0,70.0,Cash,
2025-01-25,Toothpaste,19,15.0,25.0,Card,TXN100075
2025-01-26,Soap,13,20.0,30.0,M-Pesa,TXN100076
2025-01-26,Shampoo,8,50.0,70.0,Cash,
2025-01-26,Toothpaste,11,15.0,25.0,Card,TXN100078
2025-01-27,Soap,12,20.0,30.0,M-Pesa,TXN100079
2025-01-27,Shampoo,7,50.0,70.0,Cash,
2025-01-27,Toothpaste,10,15.0,25.0,Card,TXN100081
2025-01-28,Soap,16,20.0,30.0,M-Pesa,TXN100082
2025-01-28,Shampoo,6,50.0,70.0,Cash,
2025-01-28,Toothpaste,14,15.0,25.0,Card,TXN100084
2025-01-29,Soap,18,20.0,30.0,M-Pesa,TXN100085
2025-01-29,Shampoo,9,50.0,70.0,Cash,
2025-01-29,Toothpaste,15,15.0,25.0,Card,TXN100087
2025-01-30,Soap,10,20.0,30.0,M-Pesa,TXN100088
2025-01-30,Shampoo,5,50.0,70.0,Cash,
2025-01-30,Toothpaste,12,15.0,25.0,Card,TXN100090
2025-01-31,Soap,14,20.0,30.0,M-Pesa,TXN100091
